q_bits,n,m,rho,mode,N,Q_bits,rate,entropy_target,delta_entropy,volume_grid_t,delta_volume_grid
128,1048576,4,0.125,folded,262144,512,0.125,0.875,0.8739325121811805,229096,0.873931884765625
128,1048576,4,0.125,interleaved,1048576,512,0.125,0.875,0.8739325121811805,916384,0.873931884765625
128,1048576,4,0.0625,folded,262144,512,0.0625,0.9375,0.936836175489877,245585,0.9368324279785156
128,1048576,4,0.0625,interleaved,1048576,512,0.0625,0.9375,0.936836175489877,982343,0.9368352890014648
128,1048576,8,0.5,folded,131072,1024,0.5,0.5,0.4990234401872159,65408,0.4990234375
128,1048576,8,0.5,interleaved,1048576,1024,0.5,0.5,0.4990234401872159,523264,0.4990234375
128,1048576,8,0.25,folded,131072,1024,0.25,0.75,0.7492065103953666,98200,0.74920654296875
128,1048576,8,0.25,interleaved,1048576,1024,0.25,0.75,0.7492065103953666,785599,0.7492055892944336
128,1048576,8,0.125,folded,131072,1024,0.125,0.875,0.874467717888966,114618,0.8744659423828125
128,1048576,8,0.125,interleaved,1048576,1024,0.125,0.875,0.874467717888966,916945,0.8744668960571289
128,1048576,8,0.0625,folded,131072,1024,0.0625,0.9375,0.9371693549639705,122836,0.937164306640625
128,1048576,8,0.0625,interleaved,1048576,1024,0.0625,0.9375,0.9371693549639705,982693,0.937169075012207
128,16777216,1,0.5,folded,16777216,128,0.5,0.5,0.492188875432744,8257559,0.49218887090682983
128,16777216,1,0.5,interleaved,16777216,128,0.5,0.5,0.492188875432744,8257559,0.49218887090682983
128,16777216,1,0.25,folded,16777216,128,0.25,0.75,0.7435836697551828,12475263,0.743583619594574
128,16777216,1,0.25,interleaved,16777216,128,0.25,0.75,0.7435836697551828,12475263,0.743583619594574
128,16777216,1,0.125,folded,16777216,128,0.125,0.875,0.8706591588736786,14607236,0.8706591129302979
128,16777216,1,0.125,interleaved,16777216,128,0.125,0.875,0.8706591588736786,14607236,0.8706591129302979
128,16777216,1,0.0625,folded,16777216,128,0.0625,0.9375,0.934782682580009,15683051,0.9347826838493347
128,16777216,1,0.0625,interleaved,16777216,128,0.0625,0.9375,0.934782682580009,15683051,0.9347826838493347
128,16777216,2,0.5,folded,8388608,256,0.5,0.5,0.49609392196925767,4161537,0.49609386920928955
128,16777216,2,0.5,interleaved,16777216,256,0.5,0.5,0.49609392196925767,8323074,0.49609386920928955
128,16777216,2,0.25,folded,8388608,256,0.25,0.75,0.7468113554670807,6264707,0.7468112707138062
128,16777216,2,0.25,interleaved,16777216,256,0.25,0.75,0.7468113554670807,12529415,0.7468113303184509
