q_bits,n,k,rho,mode,m,ell,s,coset_count,cosets_chosen,radius,log2_list_lower_bound,log2_budget,log2_margin,beats_budget,delta_entropy,delta_volume_grid,capacity_gap,below_capacity
128.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9347686767578125,0.934782682580009,True
128.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.8706512451171875,0.8706591588736786,True
128.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.7435760498046875,0.7435836697551828,True
128.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921875,0.492188875432744,True
128.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9347820281982422,0.934782682580009,True
128.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.8706588745117188,0.8706591588736786,True
128.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.7435836791992188,0.7435836697551828,True
128.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921884536743164,0.492188875432744,True
192.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.9360392129149483,0.935546875,0.9360392129149483,True
192.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.8724575012944624,0.8720703125,0.8724575012944624,True
192.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.746067963647786,0.74609375,0.746067963647786,True
192.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.49511754575030853,0.4951171875,0.49511754575030853,True
192.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.935790052338976,0.935791015625,0.935790052338976,True
192.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.8722097835977269,0.8720703125,0.8722097835977269,True
192.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.7458218309792201,0.74560546875,0.7458218309792201,True
192.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.4948734418437108,0.494873046875,0.4948734418437108,True
192.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.9357121912851286,0.935699462890625,0.9357121912851286,True
192.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.8721323726786177,0.87213134765625,0.8721323726786177,True
