p,n,k,rho,m,mode,N,search_alphabet_size,ambient_alphabet_size,code_size,radius,max_list,num_centers,johnson_radius,volume_grid,capacity_entropy,best_center,status
13,2,1,0.5,1,scalar,2,13,13,13,0,1,13,0.2928932188134524,1.0,0.9230769230769231,"(0, 0)",ok
13,2,1,0.5,1,scalar,2,13,13,13,1,2,156,0.2928932188134524,1.0,0.9230769230769231,"(0, 1)",ok
13,2,1,0.5,1,scalar,2,13,13,13,2,13,169,0.2928932188134524,1.0,0.9230769230769231,"(0, 0)",ok
13,2,1,0.5,2,folded,1,13,169,13,0,1,13,0.2928932188134524,1.0,0.9940828402366864,"((0, 0),)",ok
13,2,1,0.5,2,folded,1,13,169,13,1,13,13,0.2928932188134524,1.0,0.9940828402366864,"((0, 0),)",ok
13,2,1,0.5,2,interleaved,2,169,169,169,0,1,169,0.2928932188134524,0.5,0.6214039369285269,"((0, 0), (0, 0))",ok
13,2,1,0.5,2,interleaved,2,169,169,169,1,2,28392,0.2928932188134524,0.5,0.6214039369285269,"((0, 0), (0, 1))",ok
13,2,1,0.5,2,interleaved,2,169,169,169,2,169,28561,0.2928932188134524,0.5,0.6214039369285269,"((0, 0), (0, 0))",ok
13,3,1,0.3333333333333333,1,scalar,3,13,13,13,0,1,13,0.42264973081037427,1.0,0.9230769230769231,"(0, 0, 0)",ok
13,3,1,0.3333333333333333,1,scalar,3,13,13,13,1,1,481,0.42264973081037427,1.0,0.9230769230769231,"(0, 0, 0)",ok
13,3,1,0.3333333333333333,1,scalar,3,13,13,13,2,3,1716,0.42264973081037427,1.0,0.9230769230769231,"(0, 1, 2)",ok
13,3,1,0.3333333333333333,1,scalar,3,13,13,13,3,13,2197,0.42264973081037427,1.0,0.9230769230769231,"(0, 0, 0)",ok
13,3,1,0.3333333333333333,2,interleaved,3,169,169,169,,,,0.42264973081037427,0.6666666666666666,0.7182571459145732,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,3,2,0.6666666666666666,1,scalar,3,13,13,169,0,1,169,0.18350341907227397,0.3333333333333333,0.4150364958185659,"(0, 0, 0)",ok
13,3,2,0.6666666666666666,1,scalar,3,13,13,169,1,3,2028,0.18350341907227397,0.3333333333333333,0.4150364958185659,"(0, 0, 1)",ok
13,3,2,0.6666666666666666,1,scalar,3,13,13,169,2,37,169,0.18350341907227397,0.3333333333333333,0.4150364958185659,"(0, 0, 0)",ok
13,3,2,0.6666666666666666,1,scalar,3,13,13,169,3,169,2197,0.18350341907227397,0.3333333333333333,0.4150364958185659,"(0, 0, 0)",ok
13,3,2,0.6666666666666666,2,interleaved,3,169,169,28561,,,,0.18350341907227397,0.3333333333333333,0.37179164805127773,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,4,1,0.25,1,scalar,4,13,13,13,0,1,13,0.5,1.0,0.9230769230769231,"(0, 0, 0, 0)",ok
13,4,1,0.25,1,scalar,4,13,13,13,1,1,637,0.5,1.0,0.9230769230769231,"(0, 0, 0, 0)",ok
13,4,1,0.25,1,scalar,4,13,13,13,2,2,468,0.5,1.0,0.9230769230769231,"(0, 0, 1, 1)",ok
13,4,1,0.25,1,scalar,4,13,13,13,3,4,17160,0.5,1.0,0.9230769230769231,"(0, 1, 2, 3)",ok
13,4,1,0.25,1,scalar,4,13,13,13,4,13,28561,0.5,1.0,0.9230769230769231,"(0, 0, 0, 0)",ok
13,4,1,0.25,2,folded,2,13,169,13,0,1,13,0.5,1.0,0.9940828402366864,"((0, 0), (0, 0))",ok
